<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KGHM,19970710,23.50,23.50,23.50,23.50,2462894
KGHM,19970711,24.00,24.00,24.00,24.00,1557833
KGHM,19970714,21.60,21.60,21.60,21.60,398333
KGHM,19970715,19.50,19.50,19.50,19.50,832436
KGHM,19970716,21.40,21.40,21.40,21.40,570771
KGHM,19970717,21.80,22.00,21.80,22.00,769327
KGHM,19970718,21.50,21.50,20.80,20.90,267488
KGHM,19970721,21.50,21.50,21.30,21.50,366012
KGHM,19970722,21.50,21.80,21.50,21.60,237314
KGHM,19970723,21.70,21.70,21.10,21.30,203498
KGHM,19970724,21.50,21.50,21.30,21.30,248017
KGHM,19970725,21.40,21.40,21.20,21.20,197951
KGHM,19970728,21.00,21.00,20.70,20.70,206345
KGHM,19970729,20.50,21.00,20.50,20.80,118098
KGHM,19970730,20.80,21.50,20.80,21.30,131635
KGHM,19970731,21.20,21.20,20.70,20.80,130892
KGHM,19970801,20.80,21.20,20.80,20.80,97688
KGHM,19970804,21.00,21.20,21.00,21.10,138548
KGHM,19970805,21.20,21.50,21.20,21.50,204863
KGHM,19970806,21.50,21.50,21.20,21.30,149756
KGHM,19970807,21.40,22.80,21.40,22.70,187376
KGHM,19970808,22.40,24.00,22.40,23.40,370884
KGHM,19970811,23.00,23.00,22.30,22.40,266598
KGHM,19970812,22.30,23.00,22.30,22.70,220432
KGHM,19970813,23.00,23.00,23.00,23.00,295457
KGHM,19970814,22.20,22.50,22.10,22.20,128104
KGHM,19970818,21.90,21.90,21.30,21.50,123167
KGHM,19970819,22.20,23.00,22.20,22.60,230414
KGHM,19970820,22.80,22.80,22.40,22.50,225877
KGHM,19970821,22.00,22.00,21.80,21.80,78273
KGHM,19970822,21.70,22.20,21.70,22.10,75010
KGHM,19970825,21.80,22.10,21.50,21.50,70254
KGHM,19970826,21.50,21.90,21.50,21.70,81948
KGHM,19970827,21.70,21.90,21.70,21.80,77024
KGHM,19970828,22.30,22.80,22.30,22.70,306653
KGHM,19970829,22.50,22.50,22.30,22.40,328145
KGHM,19970901,22.10,22.30,22.10,22.10,87250
KGHM,19970902,22.50,22.70,22.50,22.60,202919
KGHM,19970903,22.80,23.30,22.80,23.20,387980
KGHM,19970904,22.80,22.80,22.50,22.60,202158
KGHM,19970905,22.50,22.90,22.50,22.70,174050
KGHM,19970908,22.60,22.60,22.40,22.60,68979
KGHM,19970909,22.30,22.50,22.30,22.40,132562
KGHM,19970910,22.30,22.60,22.30,22.40,129187
KGHM,19970911,22.10,22.40,22.10,22.30,130415
KGHM,19970912,22.30,22.50,22.30,22.40,117810
KGHM,19970915,22.20,22.50,22.20,22.40,105231
KGHM,19970916,22.20,22.30,22.00,22.00,116901
KGHM,19970917,21.90,21.90,21.70,21.80,126415
KGHM,19970918,21.60,22.00,21.50,22.00,183864
KGHM,19970919,22.50,22.90,22.50,22.90,468130
KGHM,19970922,23.00,23.00,22.60,22.70,294436
KGHM,19970923,22.70,22.70,22.40,22.50,200482
KGHM,19970924,22.10,22.40,22.10,22.30,142612
KGHM,19970925,21.90,21.90,21.60,21.70,210256
KGHM,19970926,21.60,21.70,21.50,21.50,185060
KGHM,19970929,21.70,21.90,21.70,21.70,148542
KGHM,19970930,22.10,22.10,21.70,21.80,133590
KGHM,19971001,22.00,22.10,21.90,22.10,232401
KGHM,19971002,21.90,21.90,21.70,21.70,183920
KGHM,19971003,22.00,22.40,22.00,22.20,485179
KGHM,19971006,22.00,22.40,22.00,22.20,506864
KGHM,19971007,22.00,22.70,22.00,22.60,495579
KGHM,19971008,22.70,23.60,22.70,23.50,783773
KGHM,19971009,23.00,23.30,22.90,22.90,766035
KGHM,19971010,22.60,22.70,22.40,22.40,378592
KGHM,19971013,22.80,23.10,22.80,23.10,329002
KGHM,19971014,23.00,23.30,22.80,22.90,398417
KGHM,19971015,23.30,23.40,23.20,23.40,593994
KGHM,19971016,23.50,23.50,23.10,23.20,368432
KGHM,19971017,23.30,23.60,23.30,23.50,410148
KGHM,19971020,23.60,23.80,23.60,23.60,597967
KGHM,19971021,23.90,24.50,23.90,24.40,513561
